Family,Species,Functional Group,Functional group detail,Fishery Status
Acanthuridae,Acanthurus albipectoralis,Planktivore,Planktivore,Non-target
,Acanthurus auranticavus,Detritivore,Detritivore,Non-target
,Acanthurus blochii,Grazer,Detritivore,Non-target
,Acanthurus dussumieri,Grazer,Detritivore,Non-target
,Acanthurus grammoptilus,Grazer,Detritivore,Non-target
,Acanthurus lineatus,Grazer,Algal cropper,Non-target
,Acanthurus mata,Planktivore,Planktivore,Non-target
,Acanthurus nigricans,Grazer,Algal cropper,Non-target
,Acanthurus nigricauda,Grazer,Detritivore,Non-target
,Acanthurus nigrofuscus,Grazer,Algal cropper,Non-target
,Acanthurus nigroris,Grazer,Detritivore,Non-target
,Acanthurus olivaceus,Grazer,Detritivore,Non-target
,Acanthurus pyroferus,Grazer,Algal cropper,Non-target
,Acanthurus thompsoni,Planktivore,Planktivore,Non-target
,Acanthurus triostegus,Grazer,Algal cropper,Non-target
,Acanthurus xanthopterus,Grazer,Detritivore,Non-target
,Ctenochaetus binotatus,Grazer,Detritivore,Non-target
,Ctenochaetus striatus,Grazer,Detritivore,Non-target
,Naso annulatus,Grazer,Algal cropper,Non-target
,Naso brevirostris,Planktivore,Planktivore,Non-target
,Naso lituratus,Grazer,Algal cropper,Non-target
,Naso tonganus,Grazer,Algal cropper,Non-target
,Naso unicornis,Grazer,Algal cropper,Non-target
,Naso vlamingii,Planktivore,Planktivore,Non-target
,Paracanthurus hepatus,Planktivore,Planktivore,Non-target
,Prionurus microlepidotus,Grazer,Algal cropper,Non-target
,Zebrasoma scopas,Grazer,Algal cropper,Non-target
,Zebrasoma veliferum,Grazer,Algal cropper,Non-target
,,,,
Chaetodontidae,Chaetodon aureofasciatus,Corallivore,Obligate corallivore,Non-target
,Chaetodon auriga,Corallivore,Facultative corallivore,Non-target
,Chaetodon baronessa,Corallivore,Obligate corallivore,Non-target
,Chaetodon bennetti,Corallivore,Obligate corallivore,Non-target
,Chaetodon citrinellus,Corallivore,Facultative corallivore,Non-target
,Chaetodon ephippium,Corallivore,Facultative corallivore,Non-target
,Chaetodon flavirostris,Corallivore,Facultative corallivore,Non-target
,Chaetodon kleinii,Corallivore,Facultative corallivore,Non-target
,Chaetodon lineolatus,Corallivore,Facultative corallivore,Non-target
,Chaetodon lunula,Corallivore,Facultative corallivore,Non-target
,Chaetodon lunulatus,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodon melannotus,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodon mertensii,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodon meyeri,Corallivore,Facultative corallivore,Non-target
,Chaetodon ornatissimus,Corallivore,Obligate corallivore,Non-target
,Chaetodon pelewensis,Corallivore,Obligate corallivore,Non-target
,Chaetodon plebeius,Corallivore,Obligate corallivore,Non-target
,Chaetodon punctatofasciatus,Corallivore,Facultative corallivore,Non-target
,Chaetodon rafflesi,Corallivore,Facultative corallivore,Non-target
,Chaetodon rainfordi,Corallivore,Obligate corallivore,Non-target
,Chaetodon reticulatus,Corallivore,Obligate corallivore,Non-target
,Chaetodon speculum,Corallivore,Facultative corallivore,Non-target
,Chaetodon trifascialis,Corallivore,Obligate corallivore,Non-target
,Chaetodon ulietensis,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodon unimaculatus,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodon vagabundus,Corallivore,Facultative corallivore,Non-target
,Chelmon rostratus,Benthic carnivore,Benthic carnivore,Non-target
,Coradion altivelis,Benthic carnivore,Benthic carnivore,Non-target
