Island Group/Region,Island / Location,Zone (pre-2004),Zone (post-2004),Site Code,Latitude (S),Longitude (E)
KEPPEL,GREAT KEPPEL,HPZ - BLUE,HPZ - BLUE,GK1,23°08.936,150°58.467
KEPPEL,GREAT KEPPEL,HPZ - BLUE,HPZ - BLUE,GK2,23°09.211,150°58.596
KEPPEL,GREAT KEPPEL,HPZ - BLUE,HPZ - BLUE,GK3,23°10.598,150°59.364
KEPPEL,GREAT KEPPEL,HPZ - BLUE,HPZ - BLUE,GK4,23°10.904,150°59.540
KEPPEL,GREAT KEPPEL,HPZ - BLUE,HPZ - BLUE,GK7,23°11.467,150°57.820
KEPPEL,GREAT KEPPEL,HPZ - BLUE,HPZ - BLUE,GK8,23°10.562,150°58.989
KEPPEL,HALFWAY,HPZ - BLUE,HPZ - BLUE,H3,23°12.059,150°57.950
KEPPEL,MIALL,HPZ - BLUE,HPZ - BLUE,MI1,23°08.980,150°54.194
KEPPEL,MIALL,HPZ - BLUE,HPZ - BLUE,MI2,23°09.303,150°54.450
KEPPEL,NORTH KEPPEL,HPZ - BLUE,HPZ - BLUE,NK3,23°05.218,150°53.534
KEPPEL,GREAT KEPPEL,HPZ - BLUE,MNPZ - GREEN,GK5,23°11.398,150°58.972
KEPPEL,GREAT KEPPEL,HPZ - BLUE,MNPZ - GREEN,GK6,23°11.215,150°58.495
KEPPEL,GREAT KEPPEL,HPZ - BLUE,MNPZ - GREEN,GK9,23°11.754,150°56.201
KEPPEL,HALFWAY,MNPZ - GREEN,MNPZ - GREEN,H1,23°11.835,150°58.383
KEPPEL,HALFWAY,MNPZ - GREEN,MNPZ - GREEN,H2,23°12.039,150°58.392
KEPPEL,MIDDLE,MNPZ - GREEN,MNPZ - GREEN,M1,23°10.287,150°55.418
KEPPEL,MIDDLE,MNPZ - GREEN,MNPZ - GREEN,M2,23°10.168,150°55.033
KEPPEL,MIDDLE,MNPZ - GREEN,MNPZ - GREEN,M3,23°09.772,150°55.264
KEPPEL,MIDDLE,MNPZ - GREEN,MNPZ - GREEN,M4,23°10.060,150°55.530
KEPPEL,NORTH KEPPEL,CPZ - YELLOW,MNPZ - GREEN,NK1,23°04.873,150°53.045
MAGNETIC,ARTHUR-WHITFIELD,HPZ - BLUE,HPZ - BLUE,AW1,19°07.956,146°52.598
MAGNETIC,ARTHUR-WHITFIELD,HPZ - BLUE,HPZ - BLUE,AW2,19°08.257,146°52.470
MAGNETIC,NELLY,HPZ - BLUE,HPZ - BLUE,NB1,19°09.823,146°51.241
MAGNETIC,WHITFIELD,HPZ - BLUE,HPZ - BLUE,WC1,19°08.601,146°52.329
MAGNETIC,FLORENCE,CPZ - YELLOW,MNPZ - GREEN,FB1,19°07.324,146°52.836
MAGNETIC,GEOFFREY,MNPZ - GREEN,MNPZ - GREEN,GB1,19°09.314,146°52.066
MAGNETIC,GEOFFREY,MNPZ - GREEN,MNPZ - GREEN,GB2,19°09.455,146°51.638
MAGNETIC,GOWRIE,HPZ - BLUE,MNPZ - GREEN,GOW1,19°06.965,146°52.847
PALM,CURACOA,HPZ - BLUE,HPZ - BLUE,C4,18°39.216,146°32.487
PALM,CURACOA,HPZ - BLUE,HPZ - BLUE,C5,18°40.498,146°33.888
PALM,CURACOA,HPZ - BLUE,HPZ - BLUE,C6,18°41.147,146°33.640
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PE1,18°35.552,146°29.384
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PE2,18°33.279,146°30.055
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PE3,18°33.279,146°30.132
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PE4,18°33.029,146°30.125
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PE5,18°32.403,146°30.066
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PE6,18°32.288,146°29.545
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PS1,18°33.436,146°29.202
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PS2,18°33.167,146°29.140
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PS3,18°32.577,146°29.120
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PS4,18°32.413,146°29.147
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PS5,18°32.273,146°29.151
PALM,PELORUS,HPZ - BLUE,HPZ - BLUE,PS6,18°32.195,146°29.219
PALM,CURACOA,HPZ - BLUE,MNPZ - GREEN,C1,18°40.716,146°33.105
PALM,CURACOA,HPZ - BLUE,MNPZ - GREEN,C2,18°40.270,146°32.974
PALM,CURACOA,HPZ - BLUE,MNPZ - GREEN,C3,18°40.496,146°32.637
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OE1,18°38.590,146°30.089
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OE2,18°38.329,146°30.139
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OE3,18°37.535,146°30.178
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OE4,18°36.169,146°30.093
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OE5,18°35.500,146°30.017
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OE6,18°35.045,146°29.487
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OS1,18°36.158,146°29.119
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OS2,18°35.437,146°29.007
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OS3,18°34.522,146°28.503
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OS4,18°34.347,146°28.591
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OS5,18°34.090,146°28.521
PALM,ORPHEUS,MNPZ - GREEN,MNPZ - GREEN,OS6,18°33.552,146°29.475
WHITSUNDAY,HAYMAN,CPZ - YELLOW,CPZ - YELLOW,HE1,20°03.482,148°54.030
WHITSUNDAY,HAYMAN,CPZ - YELLOW,CPZ - YELLOW,HE2,20°03.216,148°53.940
WHITSUNDAY,HAYMAN,CPZ - YELLOW,CPZ - YELLOW,HE3,20°02.480,148°53.363
WHITSUNDAY,HOOK,CPZ - YELLOW,CPZ - YELLOW,HY1,20°03.849,148°54.909
WHITSUNDAY,HOOK,CPZ - YELLOW,CPZ - YELLOW,HY2,20°04.101,148°54.369
WHITSUNDAY,HOOK,CPZ - YELLOW,CPZ - YELLOW,HY3,20°04.522,148°54.086
WHITSUNDAY,HOOK,HPZ - BLUE,HPZ - BLUE,HB1,20°08.634,148°56.707
WHITSUNDAY,HOOK,HPZ - BLUE,HPZ - BLUE,HB2,20°07.832,148°56.643
WHITSUNDAY,HOOK,HPZ - BLUE,HPZ - BLUE,HB3,20°05.600,148°56.992
WHITSUNDAY,HOOK,HPZ - BLUE,HPZ - BLUE,HB4,20°05.225,148°57.093
WHITSUNDAY,HOOK,HPZ - BLUE,HPZ - BLUE,HB5,20°04.357,148°57.864
WHITSUNDAY,HOOK,HPZ - BLUE,HPZ - BLUE,HB6,20°03.729,148°57.559
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W1,20°09.400,148°57.807
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W2,20°10.500,148°58.502
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W3,20°11.355,148°58.951
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W4,20°12.268,148°59.443
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W5,20°13.164,148°59.589
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W6,20°13.728,148°59.619
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W7,20°14.000,149°00.300
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W8,20°11.102,148°58.921
WHITSUNDAY,WHITSUNDAY,HPZ - BLUE,HPZ - BLUE,W9,20°10.899,148°58.683
WHITSUNDAY,BORDER,MNPZ - GREEN,MNPZ - GREEN,B1,20°09.006,149°01.297
WHITSUNDAY,BORDER,MNPZ - GREEN,MNPZ - GREEN,B2,20°10.907,149°02.178
WHITSUNDAY,BORDER,MNPZ - GREEN,MNPZ - GREEN,B3,20°10.854,149°02.421
WHITSUNDAY,BORDER,MNPZ - GREEN,MNPZ - GREEN,B4,20°09.703,149°02.404
WHITSUNDAY,BORDER,MNPZ - GREEN,MNPZ - GREEN,B5,20°09.423,149°02.085
WHITSUNDAY,BORDER,MNPZ - GREEN,MNPZ - GREEN,B6,20°09.441,149°01.527
WHITSUNDAY,BLACK,CPZ - YELLOW,MNPZ - GREEN,BL1,20°04.686,148°53.672
WHITSUNDAY,BLACK,CPZ - YELLOW,MNPZ - GREEN,BL2,20°04.689,148°53.417
WHITSUNDAY,DUMBELL,HPZ - BLUE,MNPZ - GREEN,DB1,20°10.326,149°00.415
WHITSUNDAY,DUMBELL,HPZ - BLUE,MNPZ - GREEN,DB2,20°10.625,149°00.605
WHITSUNDAY,HOOK,HPZ - BLUE,MNPZ - GREEN,HB7,20°05.532,148°57.317
WHITSUNDAY,HOOK,MNPZ - GREEN,MNPZ - GREEN,HG1,20°03.745,148°57.339
WHITSUNDAY,HOOK,MNPZ - GREEN,MNPZ - GREEN,HG2,20°03.948,148°56.993
WHITSUNDAY,HOOK,MNPZ - GREEN,MNPZ - GREEN,HG3,20°03.946,148°56.730
WHITSUNDAY,HOOK,MNPZ - GREEN,MNPZ - GREEN,HG4,20°04.085,148°56.330
WHITSUNDAY,HOOK,MNPZ - GREEN,MNPZ - GREEN,HG5,20°04.238,148°56.097
WHITSUNDAY,HOOK,MNPZ - GREEN,MNPZ - GREEN,HG6,20°04.296,148°55.864
WHITSUNDAY,HOOK,HPZ - BLUE,MNPZ - GREEN,HG7,20°03.750,148°57.750
WHITSUNDAY,HAYMAN,CPZ - YELLOW,MNPZ - GREEN,HW1,20°02.421,148°52.859
WHITSUNDAY,HAYMAN,CPZ - YELLOW,MNPZ - GREEN,HW2,20°02.798,148°52.842
WHITSUNDAY,HAYMAN,CPZ - YELLOW,MNPZ - GREEN,HW3,20°03.039,148°52.708
WHITSUNDAY,LANGFORD,CPZ - YELLOW,MNPZ - GREEN,L1,20°04.665,148°52.451
