"Year","Region","Zone","Site","Total.Fish.Densit_mean","Fish.Species.richness_mean","Grazers_mean","Corallivores_mean","SCI_mean","SCI_SE","LCC_mean","LCC_SE","LHC_mean","LHC_SE","MAC_mean"
1999,"Whitsunday","Fished","HB1",NA,NA,NA,NA,16,1.9,32.8,4.3,19.2,2.3,24
1999,"Whitsunday","Fished","HB2",NA,NA,NA,NA,14.5,1.2,60.8,5.4,48.8,3.9,19.2
1999,"Whitsunday","Fished","HB3",NA,NA,NA,NA,11.9,2.6,68.8,3.4,40.8,5.9,0
1999,"Whitsunday","Fished","HB4",NA,NA,NA,NA,9.5,1.3,56,6.3,13.6,5.3,2.4
1999,"Whitsunday","Fished","HB5",NA,NA,NA,NA,7,0.9,58.4,3.7,28.8,4.8,0
1999,"Whitsunday","Fished","HB6",NA,NA,NA,NA,8.1,1.3,72.8,3.9,60.8,5.1,0
1999,"Whitsunday","Fished","W1",NA,NA,NA,NA,18.7,2,73.6,3,39.2,5.6,0
1999,"Whitsunday","Fished","W2",NA,NA,NA,NA,18.8,1.6,72,3.3,39.2,6.5,4
1999,"Whitsunday","Fished","W3",NA,NA,NA,NA,8.3,0.4,37.6,4.7,8.8,4.3,31.2
1999,"Whitsunday","Fished","W4",NA,NA,NA,NA,16,2.8,31.2,5.1,13.6,3,36.8
1999,"Whitsunday","Fished","W5",NA,NA,NA,NA,15,1.5,21.6,2,17.6,2.7,53.6
1999,"Whitsunday","Fished","W6",NA,NA,NA,NA,16.2,1,32.8,4.8,20,2.8,50.4
1999,"Whitsunday","NTR 1987","B1",NA,NA,NA,NA,6,0,94.4,2.4,52,7.7,0
1999,"Whitsunday","NTR 1987","B2",NA,NA,NA,NA,7.2,0.3,87.2,2.7,33.6,2.4,0
1999,"Whitsunday","NTR 1987","B3",NA,NA,NA,NA,5.9,0.1,67.2,4.8,38.4,2.7,0
1999,"Whitsunday","NTR 1987","B4",NA,NA,NA,NA,5.9,0.5,88,2.2,40,2.5,0
1999,"Whitsunday","NTR 1987","B5",NA,NA,NA,NA,6.6,1.1,81.6,5.2,56,9.7,0
1999,"Whitsunday","NTR 1987","B6",NA,NA,NA,NA,7.1,0.8,71.2,4.6,49.6,5.2,20.8
