Year,Region,Zone,Site,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
1999,Whitsunday,Fished,HB1,,,,,16.7,4.6,,,,,,,,,1.3,0.8,16,1.9,32.8,4.3,19.2,2.3,24,7.4
1999,Whitsunday,Fished,HB2,,,,,12.7,4.5,,,,,,,,,4.7,1.7,14.5,1.2,60.8,5.4,48.8,3.9,19.2,2.9
1999,Whitsunday,Fished,HB3,,,,,8,4.2,,,,,,,,,0.7,0.7,11.9,2.6,68.8,3.4,40.8,5.9,0,0
1999,Whitsunday,Fished,HB4,,,,,2.7,1.2,,,,,,,,,0.7,0.7,9.5,1.3,56,6.3,13.6,5.3,2.4,1.6
1999,Whitsunday,Fished,HB5,,,,,9.3,3.9,,,,,,,,,3.3,1.1,7,0.9,58.4,3.7,28.8,4.8,0,0
1999,Whitsunday,Fished,HB6,,,,,10,2.4,,,,,,,,,3.3,1.8,8.1,1.3,72.8,3.9,60.8,5.1,0,0
1999,Whitsunday,Fished,W1,,,,,9.3,2.2,,,,,,,,,1.3,1.3,18.7,2,73.6,3,39.2,5.6,0,0
1999,Whitsunday,Fished,W2,,,,,8,3.1,,,,,,,,,2,1.3,18.8,1.6,72,3.3,39.2,6.5,4,1.3
1999,Whitsunday,Fished,W3,,,,,6,1.2,,,,,,,,,2,0.8,8.3,0.4,37.6,4.7,8.8,4.3,31.2,8.1
1999,Whitsunday,Fished,W4,,,,,13.3,3,,,,,,,,,2,1.3,16,2.8,31.2,5.1,13.6,3,36.8,2.9
1999,Whitsunday,Fished,W5,,,,,10.7,3.9,,,,,,,,,4.7,1.7,15,1.5,21.6,2,17.6,2.7,53.6,4.3
1999,Whitsunday,Fished,W6,,,,,21.3,3.4,,,,,,,,,6.7,1.5,16.2,1,32.8,4.8,20,2.8,50.4,5
1999,Whitsunday,NTR 1987,B1,,,,,26.7,9.2,,,,,,,,,12.7,3.6,6,0,94.4,2.4,52,7.7,0,0
1999,Whitsunday,NTR 1987,B2,,,,,14.7,3.4,,,,,,,,,6,1.2,7.2,0.3,87.2,2.7,33.6,2.4,0,0
1999,Whitsunday,NTR 1987,B3,,,,,18.7,7.3,,,,,,,,,4.7,1.7,5.9,0.1,67.2,4.8,38.4,2.7,0,0
1999,Whitsunday,NTR 1987,B4,,,,,44,21.2,,,,,,,,,8.7,2.3,5.9,0.5,88,2.2,40,2.5,0,0
1999,Whitsunday,NTR 1987,B5,,,,,8,1.7,,,,,,,,,2,1.3,6.6,1.1,81.6,5.2,56,9.7,0,0
1999,Whitsunday,NTR 1987,B6,,,,,8,1.7,,,,,,,,,6,0.7,7.1,0.8,71.2,4.6,49.6,5.2,20.8,2.7
