Year,Region,Zone,No. Transects,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
1999,Whitsunday,Fished,60,,,,,10.7,1.1,,,,,,,,,2.7,0.4,13.3,0.7,51.5,2.6,29.2,2.4,18.5,2.8
1999,Whitsunday,NTR 1987,60,,,,,20.2,2.5,,,,,,,,,7.4,0.8,6.7,0.2,70.9,2.2,42.6,1.9,3.7,1
2000,Palm,Fished,60,,,,,12.4,1.2,,,,,,,,,3.7,0.4,15.6,0.9,56.1,2.5,37.2,2.5,5.3,1.1
2000,Palm,NTR 1987,60,,,,,37.7,3.1,,,,,,,,,13.5,1.4,11.3,0.9,65.8,2.7,31.3,2,3.8,0.9
2001,Palm,Fished,60,,,,,11,1.3,,,,,,,,,2.9,0.4,11.8,0.7,49.3,2.7,28.9,2.5,7.5,2
2001,Palm,NTR 1987,60,,,,,18.4,1.7,,,,,,,,,7.6,0.9,11.1,0.5,62.2,2.4,30.6,1.9,2.1,0.7
2001,Whitsunday,Fished,60,,,,,12.8,1.3,,,,,,,,,3.9,0.6,9.1,0.4,56.5,3.3,34.3,2.4,20.5,3.2
2001,Whitsunday,NTR 1987,60,,,,,20.6,3,,,,,,,,,9.1,1.2,14.3,0.9,61,2.7,41.8,2.5,11.3,1.9
2002,Keppel,Fished,30,,,,,17.1,3.6,,,,,,,,,9.3,2,6.5,0.4,48.4,4.3,46.9,4.2,10,3.6
2002,Keppel,NTR 1987,30,,,,,23.3,3.6,,,,,,,,,6.3,1.2,6,0.6,62.9,4.5,62.3,4.4,4.1,2
2002,Palm,Fished,60,,,,,16.6,2.5,,,,,,,,,3.1,0.5,12.8,0.7,43.5,2.5,27,2.5,1.1,0.4
2002,Palm,NTR 1987,60,,,,,25.6,2.1,,,,,,,,,9.1,1,12,0.6,48.6,2.6,23.9,1.6,0,0
